post_id|subject|content|unique_views|good_question|visibility|i_answer|s_answer|num_followups
lbidmth31xe6h2|Final Exam Review Live Session|Hi everyone! Staff will be hosting a Final Exam Review Live Session over Zoom this Monday, 12/12 from 8pm-10pm to help you prepare for your final exam. We'll be going over the answers to a worksheet and taking any questions you might have (time permitting). As always, the session will be recorded and uploaded on Piazza/the website afterward.. . Worksheet: https://docs.google.com/document/d/1dQcspxxD_MdgMDuZyzBoP8nlOLxcwEG7MeM2ZjsZY3E/edit . Slides: https://docs.google.com/presentation/d/18sx1zHq2o-CmYcc_xWLVmAVyBxN0bdDLJl9f1vtLGcc/edit#slide=id.p. Zoom link: https://umich.zoom.us/j/96516940215. . See you there, and good luck with your studying!. . #pin|750|0|active|||1
lbcet4eawmp15f|Final Exam Logistics|"Hi everyone! The mid-term exam is coming up. Here’s some key information.. . Where To Take The Exam. You have three options for taking the exam:. . On a personal laptop, remotely from a location of your choice.. . On a personal laptop, in a North Campus classroom with power outlets at each seat.. . On a CAEN lab computer, in a North Campus computer lab. (This option is only available to students who do not have access to an adequate personal laptop.). . If you would like to or feel that you need to take your exam in a classroom or CAEN lab please fill out the form below so that we can make sure that we have enough space. We will email you the room location confirmation before the exam. If you do not want us to reserve a space for you to take the exam, you don't need to fill out this form.. . Exam Room Registration. . If you have any questions please email eecs280exams@umich.edu. --EECS 280 Exam Team. . When To Take The Exam. . At the regular time, unless you have made arrangements with us to take the exam at an alternate time.. . If you have an extended time accommodation through the SSD office, your electronic exam and deadline on Canvas will be configured accordingly.. . Exam Format. . The exam is administered online; you take it in your web browser.. The exam is ""open everything"". You may use any resources, including online resources. You may not collaborate with others.. You’ve got two hours to take the exam. Turn in your answers to Canvas before time is up.. . Each student receives a random set of questions drawn from a large question bank.. . Each student’s exam is “individually curved”. If you happen to get a harder set of questions, you’ll have a more generous curve.. . How To Take The Exam. . An individualized exam link is emailed to you a couple days before the exam. When the exam starts, you can access your exam through that link (before the start of the exam, you’ll get a “404 not found” error for the link).. . You take the exam in your web browser.. . When you finish, click a button to download an answers file, which you must submit to Canvas before time is up.. . Exam Coverage. The final exam focuses on material from lectures 11-22 (Container ADTs through the end of the course).The exam is focused on the 2nd half of the course material and is not explicitly cumulative. However, topics from the 2nd half of the course often build on material we first covered earlier (e.g. pointers are used in linked lists).. Live Practice Exam. Your link for the live practice exam will be emailed Wednesday 12/7 with subject line ""EECS 280 F22 Live Practice Final Exam"". This practice exam is hosted using the same system as we will use for the real exam, and we highly recommend you take a chance to get familiar with it and with the question formats.. . The practice final exam is out of slightly more than 100 points. The real exam will be out of 100 points.. . You are welcome to turn in your answers file for the live practice exam on Canvas. This is NOT required. It’s there in case you would like to practice the full exam process, end-to-end.. https://umich.instructure.com/courses/547703/assignments/1778547. . The solutions for the live practice exam are available at:. https://lobster.eecs.umich.edu/exam-distribution/exams/eecs280f22practice-final/sample-solution.html. . Additional Practice Exams and Other Materials. Additional practice materials, including copies of old paper exams, are available on our Google Drive:. https://drive.google.com/drive/u/1/folders/14XNqjzS0GuJm8c8z7AfTTXq4JlRJqWwu. . Exam Interface:. When you open the exam, you should get a welcome pop-up. If you don't see this (on either the practice exam or real exam), it means something went wrong and the page hasn't loaded correctly. Let us know if this happens.. . The exam interface should look generally like this in your web browser. If it doesn’t, please let us know. (Especially if page elements like the “Answers File” button are misplaced, or if you didn't get the welcome popup mentioned above.). . Feedback/Issues. Please use the follow-ups below to report any bugs/issues or other feedback.. . FAQ:. . Q: Do I have to take the exam through my link?. A: Yes. Each student’s exam is randomized, and we keep a record of who was assigned each question. If a student takes the exam through the wrong link, their questions won’t match up and they won’t receive credit. Please do not share your link with anyone.. . Q: How can I ask questions during the exam?. A: You may ask questions on Piazza or join a Zoom call with staff. We're happy to answer questions about the questions, but we can't provide any information that assists in coming up with a solution.. . Q: Is the exam proctored? Do I need to join a zoom call or install proctoring software?. A: No, but staff are available on a zoom call linked from the exam page in case you have questions.. Troubleshooting:. . Q: What should I do if I open the exam and I don't see the ""popup"" with the honor code info where I click ""I understand""?. A: This most likely means one of the 3rd part libraries used by the site didn't load correctly from its CDN. This can happen due to an unreliable internet connection or restrictions by your ISP or internet provider. Try refreshing the page a few times to see if it loads correctly. As long as it loads correctly once, you're all set (the exam application doesn't need to contact a server at all once it's started). If you have issues, please join our zoom call and we can help!"|985|0|active|||4
lbguousi8hy1yf|Final Exam Mega Thread|"Hello everyone!. . To make your studying easier, we are going to compile references to all the questions that have been asked about the final. We will be updating this post regularly so come back and check this post when you have a question!. . Here is what we ask of the students:. 1. Use this post to see if it has been answered already. 2. If it hasn't been answered, post the question in a single piazza post WITH A SCREENSHOT OF THE QUESTION. Title the piazza post with the exact question number (ex : "" Fall 2019 Q1A "" ). 3. Explain why you are confused. It is easier for us to create an accurate explanation if you give us a specific topic to address rather than ""how do I do this"". . Happy studying!!. . Logistics . content - @3708, @3176, @4205, @4382study tips - @3816. . Live Practice Exam. 3.1 - @44803.2 - @4449, @45123.3 - @4489, @45125.3 - @44876.1 - @44858.1 - @4513. . Fall 2017. 1c - @4385. . Fall 2019. Q1A - @4400Q1B - @4402Q1C - @4501Q2C - @4404, @4459Q4C - @4486. . Final Review Worksheet. 2 - @43433 - @4494. . Chapter Exercises. 13 - @415314 - @4158. . Lab Solutions. Lab 8 - @4502, @4503, @4504Lab 9 - @4218Lab 11 - @4492"|691|1|active|||0
lbxxsphwdu73j|Final Grades|When will final grades be posted?|8|0|private|||0
lbxcexw4m6m389|Submission matches sample solution but i got a 0|AC22DF11-DE4E-464A-BD15-8F894AC0119E.jpeg. . . |7|0|private|||0
lbx0a9c2a2c5c|is final exam grading done alphabetical?|title, just worried if it hasn’t come out for me because my last name starts with a Z or if my JSON file did not upload correctly for some reason|8|0|private|||0
lbwt8dqq4522h7|Regrade request.|Hi instructors! I wonder when my regrade request will be responded? I submitted it in Dec. 17. Thanks!|7|0|private|||0
lbws3a3ccew4ya|Final exam|"While looking at the graded Final exam, I wondered why I did not get some of the points specifically for questions 8 and 9. It would be my pleasure if I can get a review for those questions. Also, I would like to know how to request the regrade for the final.. Question8:. . if(!node || !node -> next) {.   return true;. }. return ((isEven(node) && !isEven(node -> next)) || (!isEven(node) && isEven(node -> next))) && contains(node->next);. . Question9:. . if(emp -> subordinates.size() == 0) {.   return 0;. }. for(int i = 0; i < emp -> subordinates.size(); ++i) {.   return emp -> subordinates.size() + total_subordinate_contributions(emp -> subordinates[i]). }. "|8|0|private|||0
lbtsyxohnyz2fy|Regrade Request|Good afternoon, I submitted a regrade request yesterday, and I want to make sure it went through and I am also curious when I can see if any corrections were made. Do you know when those will be released?. Thanks!|8|0|private|you can email eecs280staff@umich.edu, they will be better suited to answer your questions||0
lbsmc8bviga1od|Different score on canvas|I recieve the graded score through email, but the final score on that page is different from what is uploaded on canvas. Is that a mistake or it's just fine?|8|0|private|Sry I saw the wrong thing, it hasn't been uploaded yet, my bad :D||0
