post_id|subject|content|unique_views|good_question|visibility|i_answer|s_answer|num_followups
l9fbltjn4ma707|Frequently Asked Midterm Exam Questions|Exam Logistics. format - @128, @1706location - @553content - @807, @2102, @2269submitting - @2080Open-Note - @2342live practice exam answers - @2364. . Practice Midterm. Question 2 - @2817, @2829, Question 3 - @2778Question 6 - @2454Question 7 - @2797Question 8 - @2801, @2805. . Midterm Review Worksheet. A2 - @2811. Live Practice Exam. Question 3 - @2779Question 8 - @2786, @2783. . Fall 2019:. . 0a: @2847, @2853. 0b: @2777. 1a:. 1b:. 2a: @2854. 2b:. 3a:. 3b: @2810. 3c:. 4a: @2865, @2422. 4b: @2422. 4c: @2422. 4d: @2422. 4e: @2422. . Spring 2016:. . 1a:. 1b:. 1c:. 1d:. 1e:. 1f:. 1g:. 1h:. 2a:. 2b: @2766. 3a: @2766. 4a: @2766. 4b:. 4c: @2790. 4d:. 5a: @2766. 5b: @2766. . Spring 2019:. . 0a: @2828. 0b: @2873, @2773. 0c:. 1a:. 1b:. 1c:. 2a:. 2b: @2812. 3a:. 3b:. 3c:. 4a:. 4b:. 4c:. 4d:. . |898|3|active|||0
lbpk053ue761r6|Midterm grade in Canvas|resolved, thank you!|8|0|private|resolved||0
lbpjk11guvw1cd|Midterm Exam?|Why did my midterm exam just get added to canvas as a 0. when I did not get a zero?  Help I am worried.|8|0|private|||0
lbml8o2mvmy4fr|Solution for live practice exam|Is there any solution posted for the livestream exam? Thank you!|85|1|active|See @4586||0
lb2htwwye9x7g7|Midterm Question 11.1|. Why is the submarine object pass by reference here rather than pass by pointer?|67|0|active|Because we'd want to do cout << sub, not cout << &sub (which would be necessary if we did pass-by-pointer)||0
lapm8hjrv3h1ry|A regrade request to regrade request|Hi Professors, I got my regrade decision saying I couldn't get the point back because I don't have const anywhere in the function header,. . However, this is what my function look like, which have the const at the end. This makes sure the no object will be manipulated right. If not, please correct me. . . Thanks.|8|0|private|Unfortunately, the const included at the end of your function header does not ensure that Fort objects one and two will not be modified. Declaring a function as const as you have done in your solution would typically be done for a member function, and would mean that the object on which the function is called cannot be modified by the function's execution, but does not prevent the modification of the parameters. ||0
lah55xr4ehb60|regrade request notifications|are we going to be notified if our regrade request was approved once they are all processed?. . aka will we get an email with each individual response for the regrade request or will our score on the individual midterm link change automatically?|92|2|active|We are still working on regrade requests. You will be notified if the request was approved.||1
lab3axy5vx56ap|Regrade Request?|Hello, I submitted a regrade request for the midterm last week. I was curious around when we'll learn if that regrade request was approved or denied (got our points back or not). Thank you so much!|107|1|active|We've just started processing them!||0
la7isa2l9a57b7|\||73|2|active|||1
la70udexzq03ln|Should I be worried if my exam is not graded on canvas yet?|I am worried that my midterm grade is not posted on canvas. I was wondering if that would be an issue on my end or if it is in the process of being graded. If that is the case, no worries, I just want to know where I stand. Thanks|8|0|private|Grades on canvas will be posted eventually. As long as you can see your grade through the link we sent you you're good!||0
