post_id|subject|content|unique_views|good_question|visibility|i_answer|s_answer|num_followups
lajs88539dj1qf|P5 Overview|"Hello everyone!. . Staff will be hosting a P5 overview Zoom call on Tonight (11/16) @ 7:30PM EST to go over the basic structure of this project and answer any questions you might have. It's our last project overview live session! :""). . Zoom link: https://umich.zoom.us/my/clsun. Slides: https://docs.google.com/presentation/d/1f-dNeWhICvLUfRLVtb5ceyCZEBGX65RWV2s2UBpOqoE/edit#slide=id.g195db320807_0_0. Recording: https://umich.zoom.us/rec/share/Bw4AIVBnE5p-h0-4RpL-iLPl6ixD_0IiAbYuhGh4vgaqQ7DXYJZhY_08bhxbcpP7.iStzjZCbTEP2mqZj. . If you're unable to make it, a recording of the session will be posted on Piazza and eecs280.org as well. Hope to see you there!. . #pin"|696|0|active|||0
laicotkhen03w7|P5 FAQ|"Refer to this post for Frequently Asked Questions regarding Project 5. Please keep the followups related to questions in this post only. The FAQ will be updated as the project progresses, so please check back here before posting a new question!. . Q: I've never worked with maps before.  Where can I get a crash course about map functionality?. A: Staff last semester made a p5 walkthrough video! Check it out here!  In addition, another staff member made this video a few years ago detailing a general overview of what they are and how you can use them.  In addition here is a playlist for additional help related to p5..  . Q: Should I use my Map.h implementation in the driver?. A: DO NOT DO THIS. Your implementation of Map is inefficient, and will cause problems down the road. Use the standard library implementation of map instead. (#include <map>) Great documentation can be found at http://www.cplusplus.com/reference/map/map/map/. . Q: I want to test if an Iterator points to a nullptr, how can I do this?. A: You're probably trying to compare the iterator to nullptr like this: ASSERT_EQUAL(iter, nullptr);. Because these two aren't of the same type, the unit testing framework will probably complain. Instead see if you can compare two objects of the same type - Iterator - which have the same value..  . Q: What is less? What is std::less<T>? How do I use less? . A: less is a private member variable of BST.. . It is an instance of a comparator class whose type is Compare. Compare is a template type. std::less<T> is a functor class in the stl that compares two elements of type T using the < operator. By default, Compare will be std::less<T>.. . In the BinarySearch_compile_check.cpp, there is an example of a BST with the default Compare and a BST with a custom comparator. . . . In the first case, the template will be instantiated like . Node *root;. std::less<int> less;. In the second case, the template will be instantiated like . Node *root;. DuckWealthLess less; .  . Q: What could be a cause of incorrect accuracy? . A: Make sure you're properly handling duplicate words. Make sure ties are properly handled. Make sure log-probabilities are not being rounded due to being stored in an incorrect type..  . Q: How do I record ""For each label L and word w, the number of posts with label L that contain w""? . A: You'll need a more complex data structure, since you'll need to store three pieces of information - the label, the word, and the count. There are at least two different ways to do this. Hint: The key type and/or value type of a map can be a class..  . Q: Why do my test cases compile on Caen but not the autograder?. A: Double check that you haven't broken the public interface and added a public function. Also, do not put using namespace std in a header file..  . Q: What's a csvstream and how do I use it? . A: There are three really helpful examples at https://github.com/awdeorio/csvstream..  . Q: Do we need to check for duplicates in our check_sorting_invariants_impl?. A: Your check_sorting_invariants_impl checks for a valid BST. A tree with duplicates is not a valid binary search tree. The most definitive and unambiguous description of the invariant you need to check for is described in the sorting invariants section of the spec. To be extra clear, if you were to call check_sorting_invariants on a tree that has duplicates in the right subtree, it should return false..  . Q: VSCode syntax highlighting is breaking on BinarySearchTree.h and Map.h!. A: This appears to be a bug in VSCode 1.33 regarding default template parameters. We've found a few workarounds, probably the simplest of which is to add a comment to the template declaration:. .  . Q: How fast does my code need to run?. A: You should aim for the large test case to run within a minute or so. For reference, the instructor solution takes about 5 seconds on this test case..  . Q: My code is too slow. What might be the reason?. A: Common sources of slowness include:. . Processing a post more than once (including reading it more than once or saving all the data in a vector).. . Iterating over a map to find something rather than using [] or find().. . Passing strings or containers by value.. . Iterating by value in a range-based for loop.. . pingreaterthan"|831|0|active|||0
lbmttxyhmdz44y|compile error|. Hi, I want to ask why this error occurs, and how to solve it. Thank you!|28|0|active|"use #include<map> instead of #include""Map.h"""||0
lbmtkhxmie93v8|duplicate symbol|. Hi, I got this error and my main couldn't compile. Could you help me solve this? Thank you!|31|0|active|||0
lbkxgqo7ytd6np|P5 Grading|"Hello,. . I was looking at my Autograder score for project 5 and it says all tests finished and gives me a score out of 104. However, it doesn't seem as if the ""Private Tests - Undefined Behavior + Memory Leak Checks"" were performed because all of the lines are still greyed out. What does this mean?"|141|11|active|Looks like the actual final grade is out now, 16 more points were added.||0
lbjyee5ekkb65g|Autograder False Positive BST Test Case|"Reposting this because the last time it was private post to instructors and I never got a response:. . In writing test cases for BST, I wanted to check the implementation of ""less"" in the buggy code. To do this I wrote the following test case:. . . TEST(greater_int). {.   BinarySearchTree<int,greater<int> > tree;.   tree.insert(5);.   tree.insert(6);.   tree.insert(3);.   tree.insert(2);.   tree.insert(4);.   tree.insert(7);.   tree.insert(8);.   ASSERT_TRUE(*tree.min_element() == 8);.   ASSERT_TRUE(*tree.max_element() == 2);.   ASSERT_TRUE(*tree.begin() == 5);.   int i = 8;.   for(BinarySearchTree<int,greater<int> >::Iterator.   it = tree.min_element();.   it != tree.max_element(); ++it).   {.     ASSERT_TRUE(*tree.min_greater_than(i) == --i);.   }.   ASSERT_TRUE(tree.check_sorting_invariant());.   ostringstream comp;.   tree.traverse_inorder(comp);.   ASSERT_TRUE(comp.str() == ""8 7 6 5 4 3 2 "");.   ostringstream precomp;.   tree.traverse_preorder(precomp);.   ASSERT_TRUE(precomp.str() == ""5 6 7 8 3 4 2 "");. }. . What I did was pass through the greater comparison to a bst to override the less comparison, so the ordering of numbers would be reversed than what is expected. On the binary search tree header I wrote, it works correctly. This test case should pass, but autograder flagged it as a false positive. What is the issue here?"|30|0|private|||0
lbjw76megec4nt|log-likelihood if condition|Hi, I want to ask how I can determine if w was never seen in a post with label C in the training data. I try to use the contain function, but there's an error. . . . . |55|0|active|You can compare word_count[word] with word_count.end(). If word_count[word] == word_count.end() then the word doesn't exist in the map. If it doesn't equal word_count.end() then the word exists in the map.||0
lbirj2fnq6g5z8|range-based loop|Hi, I want to ask whether the range-based loop always set it to an iterator, or it could be any type? For instance, for(auto it : map), what is the type of it? Is it an iterator or a pair? Also, is there any difference between. . for(std::map<Key,Val>::iterator it = myMap.begin(); it != myMap.end(); ++it). and for(auto it : myMap)?. Or they're exactly the same expression? Thank you!|49|0|active|"It depends on how you are using it (haha get it?). . Here, you are using ""it"" as an iterator, which initially points to the start of the map. std::map<Key,Val>::iterator it = myMap.begin(); it != myMap.end(); ++it. . But here, it just holds a copy of the current item. for(auto it : myMap). . In the above, auto is the type of object in your map (could be a int, string, pair, doesn't matter). The auto keyword is basically says compiler figure out what type of variable is in the data structure myMap. . You could just say for(int it: myMap) if you wanted to, most people just use auto. . For maps specifically, you can use this to get keys and values (if you're interested):. . . for (auto& [key, value]: myMap) {.     cout << key << "" has value "" << value << endl;. }. . Note the use of &. Here is does nothing other than save half a second from not copying itself, but what's important to note is that if you are planning on modifying an item using a range based for loop, you need to use the &, otherwise, you'll just be modifying a copy!"||0
lbin6tm2rqv73r|Autograder Down?|Hi, my partner and I have an extension for project 5, but when trying to submit today we were both unable to connect to the autograder site despite both having internet. Is the site down? Does anyone know when it will be back up? Just want to make sure we can submit before the deadline.|106|3|active|I was checking my autograder to see my grade and it is down for me too.||1
lbimd7qsfji1o4|resolved|resolved|6|0|private|ok, resolved.||0
