post_id|subject|content|unique_views|good_question|visibility|i_answer|s_answer|num_followups
lfxdvvbwy6z4uv|P5 FAQ and Overview Session|"Refer to this post for Frequently Asked Questions regarding Project 5. Please keep the followups related to questions in this post only. The FAQ will be updated as the project progresses, so please check back here before posting a new question!. . Overview Session: Monday, 4/3 from 8-9pm. Slides: https://docs.google.com/presentation/d/1vyD7xIkS6ly1c5rQNaEH1xHY-UfPlQgg33X3MhZOAoQ/edit#slide=id.g101d43c8276_0_158. Zoom: https://umich.zoom.us/j/94564930578. Recording: https://umich.zoom.us/rec/share/f3hvM9tgSNkB8hKtzhn22H1vgbadboYxjO_uXhL23dE0RCuE2Iu18tzODuy1GjQr.3UxBNLz-L4rxBCxb. . Q: I've never worked with maps before.  Where can I get a crash course about map functionality?. A: Staff last semester made a p5 walkthrough video! Check it out here!  In addition, another staff member made this video a few years ago detailing a general overview of what they are and how you can use them.  In addition here is a playlist for additional help related to p5..  . Q: Should I use my Map.h implementation in the driver?. A: DO NOT DO THIS. Your implementation of Map is inefficient, and will cause problems down the road. Use the standard library implementation of map instead. (#include <map>) Great documentation can be found at http://www.cplusplus.com/reference/map/map/map/. . Q: I want to test if an Iterator points to a nullptr, how can I do this?. A: You're probably trying to compare the iterator to nullptr like this: ASSERT_EQUAL(iter, nullptr);. Because these two aren't of the same type, the unit testing framework will probably complain. Instead see if you can compare two objects of the same type - Iterator - which have the same value..  . Q: What is less? What is std::less<T>? How do I use less? . A: less is a private member variable of BST.. . It is an instance of a comparator class whose type is Compare. Compare is a template type. std::less<T> is a functor class in the stl that compares two elements of type T using the < operator. By default, Compare will be std::less<T>.. . In the BinarySearch_compile_check.cpp, there is an example of a BST with the default Compare and a BST with a custom comparator. . . . In the first case, the template will be instantiated like . Node *root;. std::less<int> less;. In the second case, the template will be instantiated like . Node *root;. DuckWealthLess less;. . Q: What could be a cause of incorrect accuracy? . A: Make sure you're properly handling duplicate words. Make sure ties are properly handled. Make sure log-probabilities are not being rounded due to being stored in an incorrect type..  . Q: How do I record ""For each label L and word w, the number of posts with label L that contain w""? . A: You'll need a more complex data structure, since you'll need to store three pieces of information - the label, the word, and the count. There are at least two different ways to do this. Hint: The key type and/or value type of a map can be a class..  . Q: Why do my test cases compile on Caen but not the autograder?. A: Double check that you haven't broken the public interface and added a public function. Also, do not put using namespace std in a header file..  . Q: What's a csvstream and how do I use it? . A: There are three really helpful examples at https://github.com/awdeorio/csvstream..  . Q: Do we need to check for duplicates in our check_sorting_invariants_impl?. A: Your check_sorting_invariants_impl checks for a valid BST. A tree with duplicates is not a valid binary search tree. The most definitive and unambiguous description of the invariant you need to check for is described in the sorting invariants section of the spec. To be extra clear, if you were to call check_sorting_invariants on a tree that has duplicates in the right subtree, it should return false..  . Q: VSCode syntax highlighting is breaking on BinarySearchTree.h and Map.h!. A: This appears to be a bug in VSCode 1.33 regarding default template parameters. We've found a few workarounds, probably the simplest of which is to add a comment to the template declaration:. .  . Q: How fast does my code need to run?. A: You should aim for the large test case to run within a minute or so. For reference, the instructor solution takes about 5 seconds on this test case..  . Q: My code is too slow. What might be the reason?. A: Common sources of slowness include:. . Processing a post more than once (including reading it more than once or saving all the data in a vector).. . Iterating over a map to find something rather than using [] or find().. . Passing strings or containers by value.. . Iterating by value in a range-based for loop.. . Q: How can I check if a node equals nullptr? How can I set a node to nullptr?. A: You can check if a node is nullptr by: ”node_ptr == nulptr” or “!node_ptr”. You can create a node that is nullptr by doing “Node* node_ptr = nullptr”.. . Q: What does “no matching function call” mean?. A: This error means that some of your types or parameters to a function call are wrong. Let’s take a function like the vector pushback function, which is used like this “vec.pushback(5)”. If you tried to call “vec.pushback()” it would get a no matching function call because there is no vector pushback function that doesn’t take in any parameters. This same logic applies to constructors. Check the error to see what function is being improperly called and what parameters it takes..  . Q: What is a false positive?. A: A false positive is when the test case passed on your code, however, it your code is still buggy. The test case passed because there was a logical error in your test case so that it wouldn’t reveal the bug in your code. If you have one of these errors, I would suggest re-evaluating the logic of your test case. Come of office hours if you would like more indepth help on it!"|340|0|active|||1
lg35xk4j3gv4ob|UNKNOWN ERROR|Hi there. Everytime I make BinarySearchTree_public_test.exe and ./BinarySearchTree_public_test.exe, I get this thing in my terminal and have no idea what it is:. . . . It just loops like this...|3|0|private|||2
lg35mstjhdr5q0|returning in copy_nodes_impl|. . Would my implementation here cause any error? Especially the return copy_nodes_impl(n) statement? I'm getting an error and am not sure if it's from this function.|4|0|private|Since you're passing in the same node n again in the recursive call, how would data for the left and right nodes get copied?||0
lg34ubm6maf104|Empty_impl implementation|For empty_impl, is it considered empty if there is a root node (not nullptr), but left and right do not exist? Or is that considered not empty?|24|0|active|That is a non-empty tree with height 1.||0
lg347e496fk6mu|find_impl doesn&#39;t compile &#34;non-void function does not return a value in all control paths&#34;|"im getting the error  ""non-void function does not return a value in all control paths"" when tryin to run public tests. I followed the walkthrough for all the scenarios smh"|21|0|active|Make sure your function returns a value in every if/else if/else block. Even if logically a branch can never be executed, it should still return a value because compilers don't understand logic!. . Example:. bool foo(int a) {.   if (a < 0) return false;.   if (a >= 0) return true;.   // logically the code never reaches here but it should .   // still return something because from the syntax point of.   // view, the code could reach here. }. Solution: either return some garbage value there or preferably use if else wisely. bool foo(int a) {.   if (a < 0) return false;.   return true;. }. or . bool foo(int a) {.   if (a < 0) return false;.   else return true;. }. ||0
lg322q1vvi45kd|testing the tree deconstructor|how can we test the tree deconstructor?|30|1|active|See @3835.||0
lg2zpj0lqvf6zb|How do we test the destructor of BTS?|Do we need to test the destructor for our BTS?|41|1|active|BTS Destructor?. ||0
lg2ydxx4uc255r|resolved|. resovlved|32|0|active|resolved||0
lg2y5bczaf34|How could we create an instance of Key_compare?|I just wonder where could we find some additional instructions about how to do so, since I am trying to go through the walkthrough of the P5 map.h but do not get the way to create the instance. Any help are appreciated! Thanks a lot!|43|0|active|Just like Compare in BinarySearchTree.h, Key_Compare is the name of the comparator class. You could create an instance by doing Key_Compare less;||0
lg2xuaw4iwk1ed|insert_impl require clause|I was looking at the insert_impl require clause and I saw that item is not already in the tree. Would it be a good idea to use the find function to check that clause, or should I create a helper function to look through the tree (E.g., contain function), or is there a better way to do this check? |50|0|active|The find function literally does what a contains function does. I personally use it to check the required clause in my insert_impl.||0
lg2xq2v6dt725l|csvstream|I am confused about which way I should use the >> operator for csvstream. . It looks like one will read row into a map (I assume between column entries and their associated header) and one will read a row into a vector pairing entries with their header. Which one do I use? Am I correct about what they do? Thanks!|30|0|active|The github link provided for the csvstream.h library (https://github.com/awdeorio/csvstream) goes into detail on how to use both. The first example shows how to read into a map whereas the third shows how to read into a vector (such that the order of values read is maintained).||0
lg2vf48dhy93ru|insert_impl question|For insert_impl, when we insert a new node, are we inserting it at the bottom of the tree as a leaf node all the time and then sorting the tree after, or are we inserting the node in such a way that preserves the sorting invariant? If it is the latter case, I'm struggling to keep the function elegant and it becomes a mess of if else statements and temp nodes that get deleted.|46|0|active|You should insert in a way that preserves sorting invariant. Realistically, it is always going to be inserted at the bottom of some branch. If you use recursion well, there will be just a few if...else... statements and they are definitely manageable.||0
lg2uz0f5asd16g|Seg Fault in copy function|Hello, we are getting a seg fault when the copy constructor is called in BinarySearchTree_compile_check.cpp. I stepped through the copy_nodes_impl function and it failed on the line where we copied the right subtree. Not sure what's going wrong here but any help would be appreciated!. |3|0|private|||1
lg2uqo5ngzf4rn|less in find_impl function|We are getting an error message when we call less in our find_impl function and we are not sure what it means. Can anyone help us? |37|0|active|node->datum should work||0
