Refer|1|1
to|606|286
this|227|167
post|5|4
for|221|152
Frequently|1|1
Asked|1|1
Questions|1|1
regarding|2|2
the|1091|342
setup|6|4
tutorial|7|5
and|407|233
Project|5|4
1. |2|2
The|33|32
itself|2|2
is|327|196
linked|1|1
on|147|107
eecs280|1|1
website. |1|1
1|33|27
due|4|4
Wednesday,|1|1
January|1|1
18|1|1
at|40|36
8pm. |1|1
Please|3|3
keep|27|25
followups|1|1
related|4|4
questions|2|2
in|324|208
only..|1|1
.|426|190
Q:|5|1
I|904|319
get|69|60
error|128|107
when|122|100
trying|40|37
run|57|53
VSCode|4|3
WSL|1|1
(error|1|1
starting|1|1
pipe|1|1
progam):.|1|1
A:|5|1
Try|3|1
changing:.|1|1
“pipeProgram”:|2|1
“c:\windows\sysnative\bash.exe”,.|1|1
to.|3|3
“/mnt/c/Windows/System32/bash.exe”,.|1|1
launch.json.|1|1
I’m|7|6
debug|13|10
my|309|174
project|53|48
with|111|89
Mac,|1|1
but|148|131
it’s|2|2
skipping|2|2
all|54|48
breakpoints.|1|1
What|27|26
do|91|82
do?.|2|2
This|20|18
a|251|164
known|1|1
bug|4|4
Microsoft|1|1
C/C++|1|1
extension.|1|1
installing|2|1
`CodeLLDB`|2|1
extension|1|1
following|14|13
steps:.|1|1
In|24|24
VSCode,|2|2
go|14|13
Extensions|1|1
tab|1|1
search|1|1
“CodeLLDB”.|1|1
Set|1|1
your|6|5
`launch.json`|1|1
configuration|2|2
following:.|1|1
{|3|3
“name”:|1|1
“(lldb)|1|1
Launch”,.|1|1
“type”:|1|1
“lldb”,.|1|1
“request”:|1|1
“launch”,.|1|1
“program”:|1|1
“${workspaceFolder}/stats_tests.exe”,.|1|1
“args”:|1|1
[],.|1|1
“cwd”:|1|1
“${workspaceFolder}”,.|1|1
}.|39|14
VSCode/macOS:|1|1
Why|6|6
am|152|110
unable|3|3
view|2|2
console|3|3
output?.|1|1
extension:|1|1
https://eecs280staff.github.io/tutorials/setup_vscode.html#macos-1.|1|1
haven’t|1|1
worked|6|6
vectors|13|12
before|15|14
-|23|11
are|82|69
there|61|55
any|41|39
recommended|3|3
resources?.|1|1
Check|1|1
out|58|49
vector|95|55
https://eecs280staff.github.io/p1-stats/vector.html.|1|1
My|35|33
output|52|41
not|151|127
printing|9|9
out…what|1|1
might|11|8
be|119|87
causing|9|8
this?|18|18
getting|77|70
an|76|67
“Invalid|1|1
Read”|1|1
or|81|74
“Segmentation|1|1
Fault”…what|1|1
this?.|9|9
caused|3|3
by|34|27
“Access-out-of-bounds”|1|1
error.|14|14
You|1|1
indexing|6|5
past|3|3
valid|2|2
elements|8|8
of|266|164
reading|9|8
some|36|31
unknown|1|1
data!|1|1
undefined|13|10
behavior|8|6
that|196|130
computers|1|1
handle|3|3
differently|1|1
(which|4|4
why|48|44
may|10|9
fail|6|6
autograder|46|40
locally).|1|1
Re-read|1|1
function|156|112
think|15|14
about|39|36
where|34|32
it|270|174
could|26|24
index|4|4
bounds.|6|5
Write|1|1
test|141|93
cases|50|40
bounds|9|8
help|27|25
you|24|24
catch|1|1
bug!.|1|1
|166|138
After|8|8
testing|14|14
resize|1|1
based|3|3
details|1|1
from|59|49
specs,|2|2
works|14|12
perfectly.|2|2
However,|21|21
auto|9|8
grader|7|6
says|35|33
file|66|49
don't|27|25
know|57|53
why. |2|2
When|44|43
try|45|42
compile|26|23
stats.cpp|36|31
Any|26|26
would|51|43
greatly|4|4
appreciatied!.|1|1
9/9|9|9
Autotrader|1|1
only|35|33
20/24|1|1
as|78|67
final|5|5
points.|1|1
I've|22|20
already|12|12
written|9|9
many|7|6
tests|46|39
file.|12|9
Is|45|45
because|34|28
we|122|83
need|38|33
cover|2|2
edge|3|3
file?|4|4
score|3|3
still|35|31
shows|7|7
-/24|1|1
canvas,|1|1
has|34|32
been|21|20
graded|12|9
yet|3|3
something|24|24
wrong?|6|6
Hello,.|4|4
mode|26|16
failed|6|6
'stats|1|1
1'|1|1
autograder.|7|7
wanted|11|10
find|21|18
source|2|2
error,|9|9
so|51|47
can|64|62
avoid|3|3
future.|1|1
attached|5|5
code|86|79
(it|2|2
uses|5|4
data|23|19
summarize|61|45
function,|25|23
which|39|37
passed|5|5
its|10|9
tests). .|1|1
Thank|29|29
you. .|1|1
Hello|1|1
Instructors,.|1|1
For|18|18
reason,|1|1
thought|12|11
was|74|57
2|11|10
hour|3|2
grace|2|1
period|2|1
after|21|21
8|3|3
pm,|1|1
tried|38|33
submitting|5|5
9:50,|1|1
realizing|1|1
place.|1|1
anything|21|17
receive|5|5
partial|1|1
credit|4|4
late|1|1
submission?|3|3
done|6|6
best|1|1
busy|1|1
schedule|1|1
also|21|21
ran|4|4
president|1|1
Club|1|1
soccer|1|1
tonight.|1|1
first|20|17
super|1|1
keen|1|1
doing|11|11
well|4|4
class;|1|1
help,|3|3
thank|4|4
time.|3|3
Best|1|1
regards,.|1|1
Suhith|1|1
It|24|23
syllabus|2|2
will|35|29
grade|1|1
our|45|35
private|26|20
public|30|24
tests,|4|4
grading|1|1
deadline.|1|1
Does|26|26
anyone|30|30
how|88|78
long|3|3
take|10|8
scores|1|1
released?|2|2
submission|4|4
working.|5|5
i|35|19
type|24|20
n|5|4
uniqname|2|2
have|121|98
correct|23|22
files|24|22
up|26|23
I'm|99|68
understand|13|12
stdev()|3|3
different|12|11
compiler,|1|1
1.87083,|1|1
quite|3|3
happening..|1|1
 had|1|1
spacing|3|3
main|36|30
just|71|63
spaces|2|2
